region,basin
USA,SiberiaW
USA,CanAtl
USA,StLwrncR
USA,Micronesia
EU-12,Sweden
EU-12,DnieperR
EU-12,ItalyCstE
EU-12,MeditIsl
EU-15,CanAtl
EU-15,BalticSea
EU-15,MeditS
EU-15,Caribbean
EU-15,IndCstS
EU-15,Madagascar
EU-15,AngolaCst
EU-15,NewCaledn
EU-15,Antarctica
Europe_Eastern,NarvaR
European Free Trade Association,Antarctica
India,Tarim
India,SriLanka
India,Sumatra
Indonesia,MalaysiaP
Japan,Korea
Mexico,TexasCst
Russia,PacArctic
Russia,Sweden
Russia,WislaR
Russia,Japan
South Africa,Antarctica
South Asia,Tarim
Southeast Asia,AmurR
Southeast Asia,Guam
Southeast Asia,Micronesia
Southeast Asia,Madagascar
Southeast Asia,NewZealand
Africa_Northern,SpainCstSE
Africa_Northern,RedSeaE
Canada,ArcticIsl
Central America and Caribbean,CanAtl
