#scenario mapping,,,
scenario,name,task,scenid
DB_S0,S0_ref,T0,1
Datayearupdate,S1_1_data_update,T1,2
croptradeparaupdate,S1_2_para_update,T1,3
Regionalforesttradeuniform,S2_1_ARM_uniformP_2p5,T2,4
fortradepara30,S2_1_1_ARM_uniformP_30,T2,5
fortradediffPpara2p5,S2_2_ARM_2p5,T2,6
fortradediffPparap75,S2_2_1_ARM_p75,T2,7
fortradediffPparap3,S2_2_2_ARM_p3,T2,8
fortradediffP,S2_2_3_ARM_30,T2,9
foryieldadjust,S3,T3,10
demand_elasp2p2,S3__elasp2p2,T3,11
demand_elasp2p4,S3__elasp2p4,T3,12
demand_elasp2p6,S3__elasp2p6,T3,13
demand_elasp2p8,S3__elasp2p8,T3,14
demand_elasp2p10,S3__elasp2p10,T3,15
demand_elasp4p2,S3__elasp4p2,T3,16
demand_elasp4p4,S3__elasp4p4,T3,17
demand_elasp4p6,S3__elasp4p6,T3,18
demand_elasp4p8,S3__elasp4p8,T3,19
demand_elasp4p10,S3__elasp4p10,T3,20
demand_elasp6p2,S3__elasp6p2,T3,21
demand_elasp6p4,S3__elasp6p4,T3,22
demand_elasp6p6,S3__elasp6p6,T3,23
demand_elasp6p8,S3__elasp6p8,T3,24
demand_elasp6p10,S3__elasp6p10,T3,25
demand_elasp8p2,S3__elasp8p2,T3,26
demand_elasp8p4,S3__elasp8p4,T3,27
demand_elasp8p6,S3__elasp8p6,T3,28
demand_elasp8p8,S3__elasp8p8,T3,29
demand_elasp8p10,S3__elasp8p10,T3,30
demand_S8elasp4p2,S4__elasp4p2,T4,31
foryieldadjust,S4__elasp4p4,T4,32
demand_S8elasp6p2,S4__elasp6p2,T4,33
demand_S8elasp6p4,S4__elasp6p4,T4,34
GCAM,S5__elasp4p2,T5,35
