year,CarbonBudget_CB_GtCO2,sd0,sd25,sd05,sd75,sd100,mean,n
2025,"(175,500]",11.052242149904242,25.0000004165372,73.46333405568762,133.686676663841,202.62783779602884,139.97616005635598,95
2025,"(500,825]",9.162321445543851,16.5,45.82134639155773,78.68395233154297,131.79948000000002,67.05210143517935,205
2025,"(825,1150]",10.883856569421939,17.458242924124633,36.7471937559268,51.810058088739275,71.53715155500778,38.875786929190255,183
2025,"(1150,1475]",7.783769461030522,15.844563658516943,25.65325314640797,37.3639640991211,51.474806777,27.033223095120853,82
2050,"(175,500]",116.13654306000001,186.88193198418665,444.5322,690.6485666449325,2102.9780761718785,1184.0654106398702,95
2050,"(500,825]",114.39765053743943,203.4004614311489,315.2217,556.0368332172214,972.6729301999993,635.0295446816026,205
2050,"(825,1150]",76.60895199999999,127.3928347148179,182.4687,306.75439975057157,875.62908935546875,366.49574247533764,183
2050,"(1150,1475]",65.85944598409442,87.80732558362246,110.31533633563379,145.87973438445175,213.3530421280464,133.31274348531363,82
2100,"(175,500]",286.83455882327127,436.49081338470387,1208,1856.61039004567,5221.523047224354,4096.463247352082,95
2100,"(500,825]",271.57231730935604,366.7111996242999,866.3374,1700.8838,6056.153246187496,2467.362196492766,205
2100,"(825,1150]",225.57970062393304,315.72395106558434,527.8657,1061.635185796875,2157.110352206213,966.2900598143892,183
2100,"(1150,1475]",200.4351153004455,267.5791175284735,447.25219500000003,955.1211318256599,1460.5689040244952,666.6982887771294,82
2025,"Full:[175,1475]",10.02872120143312,17.11586729812221,37.9431,70.6843,122.17218,64.37948548921648,565
2050,"Full:[175,1475]",77.98081339952022,132.4263,219.0077699211746,461.3666761448546,896.6708058293065,567.553338954511,565
2100,"Full:[175,1475]",229.20642462171025,355.7847722755542,699.0127307,1358.63934283114,3137.2811839081405,1993.7585830180933,565
