Policy_Scenario,LCP_scenario,unit,Supply: Purpose-grown,Supply: Residue,Supply: MSW,Demand: Final energy,Demand: Gas & Hydrogen,Demand: Refining,Demand: Electricity
2C Main,No-LCP,EJ per yr,96.83026440655038,49.15312712263537,7.511436344567901,-30.27493266417559,-10.344445381393255,-65.59687766051209,-47.278571391261046
2C Main,10%-LCP,EJ per yr,90.30537282435223,48.399735231686954,7.512590116790124,-31.108767536029813,-9.262369088956069,-63.14278191192216,-42.70380411654297
2C Main,50%-LCP,EJ per yr,75.58281881157058,46.882670235585074,7.5165053902469134,-31.574711919382384,-7.526576255147621,-55.32069977118572,-35.5602431139334
2C Main,100%-LCP,EJ per yr,65.130547114099,45.97160880134788,7.519246872962963,-31.091329791495887,-6.497557919646313,-49.352890708764626,-31.679260725330565
A/R-Focused,10%-LCP,EJ per yr,91.61651064289674,48.27763688296583,7.511615464938272,-31.540320075055995,-9.570551297375818,-63.67702137112336,-42.61785069365967
A/R-Focused,50%-LCP,EJ per yr,79.70569345719075,46.67668941801093,7.513100479135803,-33.278004065641625,-8.495671358395494,-56.910210322357386,-35.2117760263134
A/R-Focused,100%-LCP,EJ per yr,71.22536881992283,45.950494100931785,7.514262828518518,-33.84627782731717,-7.7344799145546235,-51.78519993925853,-31.32435857389776
Low-Bioenergy,No-LCP,EJ per yr,29.341420080682013,29.73250776503697,7.40047101228395,-16.629442008393582,-2.519474986610671,-23.584123592116544,-23.778223965738473
Low-Bioenergy,10%-LCP,EJ per yr,26.60889799195124,32.435669030914084,7.4517526291975305,-19.048916655951277,-2.5888970741731145,-23.451726893279787,-21.405988134396694
Low-Bioenergy,50%-LCP,EJ per yr,23.167194870709537,35.846554887089276,7.482464972345679,-21.360780107540716,-2.7613024764803917,-22.993564814535052,-19.38070942226445
Low-Bioenergy,100%-LCP,EJ per yr,21.829892937616425,37.14373956513674,7.4930336902469135,-22.18788306595653,-2.8445121806968134,-22.758705268116156,-18.675032962221543
1.5C,No-LCP,EJ per yr,105.3757899014439,53.392495392125454,7.519172276666667,-17.8395185007943,-14.01662695621733,-54.27896076746149,-80.14515740491368
1.5C,10%-LCP,EJ per yr,99.73080234786136,53.32502836695459,7.5208887951851855,-19.320943521178997,-11.721358251651303,-56.16926449548252,-73.3647070594611
1.5C,50%-LCP,EJ per yr,85.52186275727409,52.73649478365221,7.525610891481482,-20.610250880251,-8.929624482867954,-55.337249836971985,-60.90694307638589
1.5C,100%-LCP,EJ per yr,75.1454812437718,51.74761559082464,7.52944503037037,-20.42557405328615,-7.4452311351103715,-52.45773320450976,-54.09438590129872
