"","Explanatory variable","element","Model1","Model2","Model3","Model4","Model5","Model6","Model7","Model8"
"1","FFI","adjR2",0.961892761695128,0.961892761695128,0.961892761695128,0.961892761695128,0.918562471538867,0.915278665691395,0.907401984569742,0.581261256387904
"2","(Intercept)","estimate",NA,NA,NA,NA,2.07843659248554,NA,NA,NA
"3","`Land-Forest`","estimate",0.0135748285053279,0.0135748285053278,0.0453224106165598,0.0453224106165598,0.015071275280189,0.0335123256067168,0.0489738090954792,NA
"4","`Land-Forest`:ForOnlyARFocused","estimate",NA,NA,-0.0317475821112319,-0.0317475821112319,NA,NA,NA,NA
"5","`Land-Forest`:ForOnlyNonARFocused","estimate",NA,NA,NA,NA,NA,NA,NA,NA
"6","`Land-NonForest`","estimate",0.031747582111232,0.0317475821112319,NA,NA,0.0309741276683446,0.0176026607958081,NA,NA
"7","BECCS","estimate",0.0360543305939926,NA,0.0360543305939926,NA,0.0269411802919536,NA,NA,NA
"8","BECCS_Tax","estimate",NA,-0.0360543305939926,NA,-0.0360543305939926,NA,NA,NA,NA
"9","FFI","estimate",-0.00736455962067711,0.0286897709733155,-0.0073645596206771,0.0286897709733155,-0.00656939713516761,0.00844022816318856,0.00841264807192714,0.0251260216903144
"10","(Intercept)","std.error",NA,NA,NA,NA,0.41205517114792,NA,NA,NA
"11","`Land-Forest`","std.error",0.00268084883998379,0.00268084883998379,0.00117288924828738,0.00117288924828737,0.002569137433246,0.00359727413155769,0.00168696257292523,NA
"12","`Land-Forest`:ForOnlyARFocused","std.error",NA,NA,0.002591144429582,0.002591144429582,NA,NA,NA,NA
"13","`Land-Forest`:ForOnlyNonARFocused","std.error",NA,NA,NA,NA,NA,NA,NA,NA
"14","`Land-NonForest`","std.error",0.002591144429582,0.002591144429582,NA,NA,0.00247132096141322,0.00366029700789036,NA,NA
"15","BECCS","std.error",0.00211388147337851,NA,0.00211388147337851,NA,0.00270431237978022,NA,NA,NA
"16","BECCS_Tax","std.error",NA,0.0021138814733785,NA,0.0021138814733785,NA,NA,NA,NA
"17","FFI","std.error",0.00108028613538632,0.00131068354366889,0.00108028613538632,0.00131068354366889,0.00104035771640026,0.000827974350640511,0.000865587369873543,0.00137452666630101
